satisfaction_result,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Online Booking,Gate location,Food and drink,Online Check-in,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes
neutral or dissatisfied,Male,Frequent Flyer,18,Business travel,Eco Plus,106,1,3,2,3,1,2,4,1,1,3,3,3,4,1,33
neutral or dissatisfied,Male,Infrequent Flyer,26,Business travel,Business,3711,3,3,3,2,3,3,3,1,2,1,3,3,4,3,0
neutral or dissatisfied,Male,Frequent Flyer,29,Personal Travel,Eco,731,2,2,2,3,4,2,1,4,1,3,3,4,3,4,0
neutral or dissatisfied,Female,Infrequent Flyer,40,Business travel,Business,328,2,1,1,2,1,1,1,1,3,2,5,5,4,1,0
neutral or dissatisfied,Female,Frequent Flyer,37,Personal Travel,Eco,101,2,5,2,2,1,2,1,1,3,4,4,5,5,1,0
neutral or dissatisfied,Male,Frequent Flyer,18,Personal Travel,Eco,569,2,5,2,3,2,2,2,2,5,4,4,5,5,2,0
neutral or dissatisfied,Male,Frequent Flyer,52,Personal Travel,Eco,788,3,3,3,3,4,3,4,4,2,3,4,3,3,4,24
neutral or dissatisfied,Male,Infrequent Flyer,25,Business travel,Business,1372,3,2,3,4,5,3,5,5,3,2,3,4,4,5,0
neutral or dissatisfied,Female,Frequent Flyer,47,Business travel,Eco,101,2,3,3,3,3,3,3,2,2,2,2,4,2,2,12
neutral or dissatisfied,Female,Frequent Flyer,51,Personal Travel,Eco,867,3,5,4,4,5,5,1,1,1,4,1,4,1,4,32
neutral or dissatisfied,Female,Infrequent Flyer,29,Business travel,Eco,1096,3,3,3,3,3,5,5,4,3,3,4,5,3,5,137
neutral or dissatisfied,Male,Frequent Flyer,55,Personal Travel,Eco,2402,1,2,1,4,1,2,2,3,2,3,4,2,3,2,0
neutral or dissatisfied,Female,Frequent Flyer,42,Personal Travel,Eco,471,4,4,4,1,3,4,4,4,4,4,4,5,4,5,14
neutral or dissatisfied,Male,Frequent Flyer,66,Personal Travel,Eco,696,1,5,0,4,2,0,2,2,5,5,5,4,5,2,0
neutral or dissatisfied,Female,Frequent Flyer,53,Personal Travel,Eco,1121,4,2,4,3,3,3,3,3,3,4,3,3,3,3,5
neutral or dissatisfied,Female,Frequent Flyer,35,Personal Travel,Eco Plus,1056,3,4,3,4,5,3,5,5,3,3,5,4,4,5,0
neutral or dissatisfied,Female,Frequent Flyer,56,Personal Travel,Eco,838,2,5,2,2,5,5,5,2,2,2,2,3,2,4,30
neutral or dissatisfied,Male,Frequent Flyer,52,Business travel,Eco,305,3,5,5,5,4,3,4,4,4,2,3,2,3,4,0
neutral or dissatisfied,Female,Infrequent Flyer,27,Business travel,Eco,1092,3,3,3,4,3,3,3,3,2,1,4,1,4,3,0
neutral or dissatisfied,Male,Frequent Flyer,42,Business travel,Business,362,2,5,5,5,5,3,4,2,2,2,2,1,2,4,0
neutral or dissatisfied,Female,Infrequent Flyer,64,Business travel,Eco,936,3,3,3,4,5,3,5,5,4,2,4,2,4,5,0
neutral or dissatisfied,Female,Frequent Flyer,45,Personal Travel,Eco Plus,484,3,5,3,4,3,5,5,4,4,3,5,4,4,4,0
neutral or dissatisfied,Male,Frequent Flyer,56,Business travel,Business,2158,3,1,1,1,1,3,4,3,3,3,3,3,3,2,4
neutral or dissatisfied,Female,Frequent Flyer,45,Business travel,Eco,241,4,5,2,5,1,3,3,4,4,4,4,1,4,1,0
neutral or dissatisfied,Female,Infrequent Flyer,21,Business travel,Eco,2677,3,3,3,2,3,1,1,1,3,4,3,1,4,1,0
neutral or dissatisfied,Male,Frequent Flyer,32,Business travel,Eco Plus,1192,4,4,4,4,4,4,4,4,4,5,4,2,3,4,0
neutral or dissatisfied,Male,Frequent Flyer,63,Personal Travel,Eco,852,3,5,3,1,4,3,4,4,5,3,4,5,4,4,0
neutral or dissatisfied,Female,Infrequent Flyer,39,Business travel,Business,247,2,2,2,1,2,2,2,2,4,2,5,4,4,2,0
neutral or dissatisfied,Female,Infrequent Flyer,22,Business travel,Eco,651,2,3,3,3,1,3,1,1,1,4,3,2,4,1,40
neutral or dissatisfied,Female,Frequent Flyer,50,Personal Travel,Eco,1618,1,4,1,3,4,5,5,2,2,1,2,3,2,4,0
neutral or dissatisfied,Female,Infrequent Flyer,30,Business travel,Business,883,1,1,1,3,1,1,1,1,5,5,5,4,5,1,15
neutral or dissatisfied,Female,Frequent Flyer,22,Personal Travel,Eco,86,1,4,1,1,4,1,5,4,3,5,5,4,4,4,1
neutral or dissatisfied,Female,Frequent Flyer,29,Personal Travel,Eco,1337,3,2,3,3,4,3,1,4,1,3,3,4,3,4,0
neutral or dissatisfied,Male,Frequent Flyer,19,Personal Travel,Eco,783,3,5,3,2,4,3,4,4,3,5,5,4,4,4,16
neutral or dissatisfied,Male,Frequent Flyer,70,Personal Travel,Eco,689,2,4,2,5,1,2,1,1,5,3,4,3,4,1,0
neutral or dissatisfied,Male,Infrequent Flyer,22,Business travel,Eco,212,1,4,1,4,5,1,5,5,4,1,4,4,4,5,9
neutral or dissatisfied,Male,Frequent Flyer,56,Personal Travel,Eco,1222,4,3,4,2,4,4,4,4,1,4,3,1,2,4,61
neutral or dissatisfied,Female,Frequent Flyer,50,Personal Travel,Eco,488,3,5,3,1,3,4,5,5,5,3,5,5,5,3,0
neutral or dissatisfied,Female,Frequent Flyer,40,Personal Travel,Eco,1995,2,1,2,3,2,2,2,2,3,3,3,3,4,2,13
neutral or dissatisfied,Female,Frequent Flyer,12,Personal Travel,Eco,1605,3,5,3,1,3,3,3,3,5,5,5,5,5,3,17
neutral or dissatisfied,Female,Frequent Flyer,22,Personal Travel,Eco,1671,2,5,2,4,2,2,2,2,2,2,1,1,2,2,10
neutral or dissatisfied,Female,Infrequent Flyer,24,Business travel,Eco,227,4,4,4,1,1,4,1,1,5,5,5,3,4,1,0
neutral or dissatisfied,Male,Frequent Flyer,52,Personal Travel,Eco,2227,3,4,3,5,3,3,3,3,4,2,5,4,5,3,44
neutral or dissatisfied,Female,Frequent Flyer,36,Personal Travel,Eco Plus,2583,1,1,1,3,1,5,5,2,4,2,4,5,1,5,0
neutral or dissatisfied,Male,Frequent Flyer,44,Personal Travel,Eco,666,4,4,4,2,3,4,2,3,4,1,5,1,1,3,0
neutral or dissatisfied,Female,Infrequent Flyer,65,Business travel,Eco,320,2,2,2,3,1,2,1,1,4,5,3,3,3,1,5
neutral or dissatisfied,Male,Frequent Flyer,33,Personal Travel,Eco,785,3,3,3,3,5,3,5,5,3,2,3,4,4,5,1
neutral or dissatisfied,Male,Frequent Flyer,50,Personal Travel,Eco,2300,3,4,2,3,2,1,1,4,2,4,4,1,3,1,3
neutral or dissatisfied,Female,Frequent Flyer,17,Personal Travel,Eco,328,4,5,4,4,5,4,5,5,1,5,2,5,4,5,0
neutral or dissatisfied,Male,Frequent Flyer,19,Personal Travel,Eco Plus,1617,1,4,1,4,5,1,5,5,4,2,4,4,4,5,11
neutral or dissatisfied,Female,Frequent Flyer,57,Personal Travel,Eco Plus,310,3,5,3,2,3,5,5,2,2,3,4,3,2,4,0
neutral or dissatisfied,Male,Infrequent Flyer,26,Business travel,Business,990,3,3,3,4,5,3,5,5,3,5,5,4,5,5,0
neutral or dissatisfied,Female,Infrequent Flyer,27,Business travel,Eco,1165,2,2,2,3,1,2,1,1,2,1,4,2,4,1,16
neutral or dissatisfied,Female,Infrequent Flyer,18,Business travel,Eco,1444,3,3,3,3,1,3,1,1,4,4,3,2,4,1,47
neutral or dissatisfied,Male,Frequent Flyer,32,Personal Travel,Eco,265,2,4,2,4,5,2,5,5,2,1,4,2,2,5,42
neutral or dissatisfied,Male,Frequent Flyer,10,Personal Travel,Eco Plus,332,4,5,2,1,5,2,5,5,4,2,4,5,4,5,0
neutral or dissatisfied,Female,Frequent Flyer,65,Personal Travel,Eco,687,1,4,1,3,2,5,5,1,1,1,1,3,1,4,0
neutral or dissatisfied,Male,Infrequent Flyer,25,Business travel,Eco,304,2,0,2,4,2,2,2,2,1,5,4,4,3,2,0
neutral or dissatisfied,Male,Frequent Flyer,24,Personal Travel,Eco,490,4,3,4,2,2,4,1,2,1,5,5,3,3,2,16
neutral or dissatisfied,Female,Frequent Flyer,39,Personal Travel,Eco,250,4,4,0,4,1,0,1,1,4,2,4,4,4,1,21
neutral or dissatisfied,Female,Frequent Flyer,48,Business travel,Eco,1587,4,2,2,2,4,4,3,4,4,4,4,4,4,3,10
neutral or dissatisfied,Female,Frequent Flyer,61,Personal Travel,Eco,153,3,5,3,2,3,5,4,4,4,3,4,5,4,4,66
neutral or dissatisfied,Female,Frequent Flyer,26,Personal Travel,Business,342,2,4,2,1,1,2,1,1,4,4,4,5,5,1,0
neutral or dissatisfied,Male,Infrequent Flyer,27,Business travel,Business,696,3,3,3,5,3,1,5,4,4,4,4,5,4,5,128
neutral or dissatisfied,Female,Frequent Flyer,39,Personal Travel,Eco,2677,2,2,2,3,2,1,1,3,5,2,3,1,2,1,0
neutral or dissatisfied,Male,Infrequent Flyer,34,Business travel,Eco,501,1,4,1,4,1,5,5,3,5,2,1,5,1,5,159
neutral or dissatisfied,Male,Frequent Flyer,57,Personal Travel,Eco,425,4,4,4,3,5,4,5,5,5,3,4,5,5,5,1
neutral or dissatisfied,Male,Infrequent Flyer,38,Business travel,Eco,429,2,4,2,1,1,2,1,1,2,3,2,4,4,1,0
neutral or dissatisfied,Male,Frequent Flyer,37,Business travel,Business,2327,1,2,2,2,5,4,4,1,1,1,1,3,1,1,53
neutral or dissatisfied,Male,Frequent Flyer,34,Personal Travel,Business,533,2,4,2,1,5,4,4,1,1,2,1,4,1,4,0
neutral or dissatisfied,Male,Frequent Flyer,54,Business travel,Business,3658,3,1,1,1,5,3,4,3,3,3,3,1,3,2,43
neutral or dissatisfied,Male,Frequent Flyer,68,Personal Travel,Eco Plus,919,4,4,4,5,2,4,2,2,5,4,3,3,2,2,26
neutral or dissatisfied,Male,Frequent Flyer,26,Business travel,Business,986,2,3,4,4,2,2,2,2,4,2,3,4,4,2,17
neutral or dissatisfied,Male,Infrequent Flyer,31,Business travel,Eco,1389,3,3,3,4,5,3,5,5,4,2,4,2,3,5,126
neutral or dissatisfied,Female,Frequent Flyer,66,Personal Travel,Eco,733,1,4,1,3,4,3,4,3,3,1,3,1,3,1,0
neutral or dissatisfied,Male,Frequent Flyer,21,Business travel,Business,3379,1,2,3,3,1,1,1,1,1,3,4,1,3,1,0
neutral or dissatisfied,Female,Frequent Flyer,55,Business travel,Eco,1618,4,4,4,4,1,4,3,5,5,4,5,2,5,1,22
neutral or dissatisfied,Female,Frequent Flyer,49,Business travel,Eco,135,1,2,2,2,5,4,3,1,1,1,1,3,1,3,0
neutral or dissatisfied,Female,Frequent Flyer,53,Personal Travel,Eco,366,2,4,2,2,3,5,5,2,2,2,2,1,2,5,83
neutral or dissatisfied,Female,Frequent Flyer,36,Business travel,Eco,495,5,2,2,2,4,5,5,1,4,4,3,5,3,5,266
neutral or dissatisfied,Male,Frequent Flyer,20,Personal Travel,Eco,488,2,5,2,2,2,2,2,2,5,3,4,5,4,2,3
neutral or dissatisfied,Female,Frequent Flyer,41,Business travel,Business,2562,2,2,2,2,3,3,3,2,2,2,2,3,2,4,0
neutral or dissatisfied,Female,Frequent Flyer,62,Personal Travel,Eco Plus,1055,2,4,2,3,3,5,5,3,3,2,2,3,3,4,0
neutral or dissatisfied,Male,Frequent Flyer,39,Personal Travel,Business,1491,3,2,3,4,2,4,4,4,4,3,4,2,4,2,12
neutral or dissatisfied,Female,Frequent Flyer,42,Business travel,Eco,649,2,4,4,4,4,3,4,2,2,2,2,2,2,1,0
neutral or dissatisfied,Male,Infrequent Flyer,35,Business travel,Eco,1721,4,4,4,4,4,4,4,4,1,5,4,3,3,4,0
neutral or dissatisfied,Male,Infrequent Flyer,29,Business travel,Eco,725,2,2,2,1,2,2,2,2,3,3,1,3,1,2,0
neutral or dissatisfied,Male,Frequent Flyer,61,Business travel,Business,399,2,2,2,2,2,4,4,2,2,2,2,1,2,3,0
neutral or dissatisfied,Male,Frequent Flyer,41,Personal Travel,Eco,1195,3,4,3,3,4,3,1,4,3,4,5,3,5,4,74
neutral or dissatisfied,Male,Infrequent Flyer,43,Business travel,Business,624,3,3,3,3,4,3,4,4,3,3,4,3,4,4,24
neutral or dissatisfied,Male,Frequent Flyer,15,Personal Travel,Eco,139,1,4,1,3,5,1,5,5,3,1,4,2,4,5,63
neutral or dissatisfied,Female,Frequent Flyer,56,Business travel,Eco Plus,106,1,2,2,2,2,4,3,1,1,1,1,2,1,1,7
neutral or dissatisfied,Female,Frequent Flyer,37,Business travel,Eco,258,1,2,2,2,1,1,1,1,3,3,4,2,3,1,15
neutral or dissatisfied,Male,Frequent Flyer,69,Personal Travel,Eco,431,1,4,1,1,4,1,4,4,3,3,5,3,5,4,0
neutral or dissatisfied,Female,Frequent Flyer,10,Personal Travel,Eco,448,2,2,2,3,3,2,1,3,3,3,3,2,4,3,0
neutral or dissatisfied,Male,Frequent Flyer,40,Personal Travel,Eco,946,1,1,0,2,3,0,3,3,2,2,2,1,2,3,62
neutral or dissatisfied,Female,Infrequent Flyer,50,Business travel,Eco,458,3,0,3,4,4,3,4,4,3,4,3,4,4,4,0
neutral or dissatisfied,Male,Frequent Flyer,36,Personal Travel,Eco,404,1,2,1,4,3,1,3,3,1,2,4,4,3,3,0
neutral or dissatisfied,Female,Frequent Flyer,19,Personal Travel,Eco,239,1,5,1,2,5,1,4,5,3,4,5,5,4,5,18
neutral or dissatisfied,Male,Frequent Flyer,32,Personal Travel,Eco,2556,3,4,3,1,5,3,5,5,2,4,1,3,4,5,0
neutral or dissatisfied,Female,Frequent Flyer,43,Personal Travel,Eco,1431,3,5,3,1,2,5,4,2,2,3,2,4,2,5,20
neutral or dissatisfied,Female,Frequent Flyer,9,Personal Travel,Eco,214,1,3,0,3,1,0,1,1,4,4,3,2,4,1,0
neutral or dissatisfied,Male,Frequent Flyer,43,Personal Travel,Eco,395,3,3,3,3,1,3,1,1,5,3,3,3,3,1,1
neutral or dissatisfied,Female,Infrequent Flyer,21,Business travel,Eco,404,2,4,2,4,1,2,4,1,4,5,3,1,4,1,24
neutral or dissatisfied,Female,Infrequent Flyer,18,Business travel,Eco,1196,2,2,2,3,2,2,2,2,2,4,2,3,4,2,0
neutral or dissatisfied,Male,Frequent Flyer,65,Business travel,Eco,337,3,4,4,4,3,3,3,3,3,4,4,4,3,3,50
neutral or dissatisfied,Male,Frequent Flyer,78,Business travel,Eco,129,1,0,0,3,4,1,3,4,3,4,4,2,3,4,26
neutral or dissatisfied,Male,Frequent Flyer,15,Personal Travel,Eco,1021,1,2,1,3,2,1,1,2,4,4,3,2,3,2,0
neutral or dissatisfied,Male,Frequent Flyer,14,Personal Travel,Eco,102,4,4,4,4,3,4,3,3,2,4,4,5,1,3,0
neutral or dissatisfied,Male,Frequent Flyer,67,Personal Travel,Business,616,3,5,3,1,1,3,5,3,3,3,3,5,3,1,27
neutral or dissatisfied,Male,Frequent Flyer,29,Personal Travel,Eco,1192,2,4,2,5,3,2,1,3,1,1,5,5,2,3,54
neutral or dissatisfied,Female,Frequent Flyer,57,Business travel,Eco,515,1,5,5,5,4,4,4,1,1,1,1,3,1,3,46
neutral or dissatisfied,Male,Frequent Flyer,36,Personal Travel,Business,409,1,4,1,2,1,4,4,2,2,1,3,4,2,4,168
neutral or dissatisfied,Male,Frequent Flyer,26,Personal Travel,Eco,679,2,4,2,5,5,2,5,5,3,2,4,5,5,5,0
neutral or dissatisfied,Female,Frequent Flyer,32,Personal Travel,Eco,421,1,4,1,3,1,1,2,1,2,4,4,4,4,1,0
neutral or dissatisfied,Male,Infrequent Flyer,22,Business travel,Eco,896,3,3,3,4,3,3,3,3,1,3,2,4,3,3,0
neutral or dissatisfied,Female,Frequent Flyer,47,Business travel,Business,2551,2,3,3,3,2,2,1,2,2,2,2,3,2,2,11
neutral or dissatisfied,Male,Frequent Flyer,10,Personal Travel,Eco,980,2,4,3,3,4,3,4,4,2,4,4,4,4,4,0
neutral or dissatisfied,Female,Infrequent Flyer,27,Business travel,Eco,191,2,1,3,3,4,3,4,4,1,5,4,3,4,4,24
neutral or dissatisfied,Female,Frequent Flyer,50,Business travel,Eco,125,4,3,1,3,2,4,3,3,3,4,3,1,3,4,0
neutral or dissatisfied,Female,Frequent Flyer,48,Business travel,Business,3287,1,2,2,2,1,3,2,1,1,2,1,2,1,3,0
neutral or dissatisfied,Female,Frequent Flyer,23,Personal Travel,Eco,258,2,4,2,3,1,2,1,1,4,5,4,3,4,1,0
neutral or dissatisfied,Male,Infrequent Flyer,30,Business travel,Business,280,2,2,2,2,1,2,1,1,2,1,2,3,3,1,54
neutral or dissatisfied,Female,Frequent Flyer,39,Personal Travel,Eco,373,2,3,2,4,3,2,3,3,1,4,2,4,5,3,8
neutral or dissatisfied,Female,Frequent Flyer,27,Personal Travel,Eco,529,4,1,4,4,2,4,3,2,1,1,3,2,4,2,10
neutral or dissatisfied,Female,Frequent Flyer,32,Business travel,Business,992,4,1,1,1,4,4,4,4,2,2,4,2,4,4,0
neutral or dissatisfied,Female,Infrequent Flyer,59,Business travel,Eco,280,3,5,3,4,5,3,5,5,1,2,5,1,4,5,0
neutral or dissatisfied,Female,Frequent Flyer,39,Business travel,Eco,588,2,1,1,1,2,2,2,2,1,2,4,2,3,2,0
neutral or dissatisfied,Male,Frequent Flyer,68,Personal Travel,Eco,406,3,3,3,2,3,3,3,3,5,3,3,4,5,3,0
neutral or dissatisfied,Male,Infrequent Flyer,42,Business travel,Business,432,1,1,1,4,3,1,3,3,5,4,5,5,4,3,0
neutral or dissatisfied,Female,Frequent Flyer,36,Business travel,Business,624,2,3,3,3,5,4,4,2,2,2,2,3,2,1,0
neutral or dissatisfied,Male,Frequent Flyer,8,Personal Travel,Eco,604,2,5,2,3,5,2,5,5,4,5,4,3,1,5,0
neutral or dissatisfied,Male,Frequent Flyer,59,Personal Travel,Business,327,3,0,3,4,4,4,5,1,1,3,1,3,1,3,10
neutral or dissatisfied,Male,Frequent Flyer,28,Personal Travel,Eco Plus,733,1,4,1,4,3,1,4,3,1,2,3,4,3,3,1
neutral or dissatisfied,Male,Frequent Flyer,45,Personal Travel,Eco,1306,2,5,2,1,1,2,1,1,3,5,3,5,5,1,0
neutral or dissatisfied,Female,Frequent Flyer,66,Personal Travel,Eco,1416,3,2,3,3,2,4,3,5,5,3,3,2,5,4,6
neutral or dissatisfied,Female,Infrequent Flyer,35,Business travel,Business,874,2,2,2,4,4,2,4,4,5,4,5,4,4,4,0
neutral or dissatisfied,Male,Infrequent Flyer,38,Business travel,Business,277,4,4,4,1,3,4,3,3,3,5,5,5,4,3,0
neutral or dissatisfied,Female,Frequent Flyer,30,Personal Travel,Eco,816,2,0,2,1,3,2,3,3,5,3,5,4,4,3,79
neutral or dissatisfied,Male,Frequent Flyer,68,Personal Travel,Eco,630,2,4,2,2,1,2,1,1,3,1,1,1,1,1,4
neutral or dissatisfied,Female,Frequent Flyer,56,Business travel,Eco,481,3,2,2,2,1,3,4,3,3,3,3,1,3,4,9
neutral or dissatisfied,Female,Frequent Flyer,16,Business travel,Eco Plus,690,4,4,4,4,4,4,3,4,3,1,4,4,4,4,38
neutral or dissatisfied,Male,Frequent Flyer,66,Business travel,Business,957,2,1,1,1,2,2,2,2,2,2,2,1,2,3,0
neutral or dissatisfied,Male,Frequent Flyer,44,Personal Travel,Eco,1046,3,4,3,3,3,3,3,3,4,4,3,1,3,3,7
neutral or dissatisfied,Male,Frequent Flyer,41,Personal Travel,Eco,1744,2,2,3,3,2,3,2,2,3,3,3,2,2,2,8
neutral or dissatisfied,Female,Frequent Flyer,26,Personal Travel,Eco,386,1,4,1,1,3,1,3,3,5,5,3,2,2,3,7
neutral or dissatisfied,Female,Frequent Flyer,41,Business travel,Business,2713,3,5,5,5,1,3,3,3,3,3,3,1,3,2,56
neutral or dissatisfied,Male,Infrequent Flyer,37,Business travel,Business,293,2,2,2,5,3,2,3,3,3,3,5,4,4,3,63
neutral or dissatisfied,Female,Frequent Flyer,45,Business travel,Eco,101,2,1,1,1,2,4,4,2,2,2,2,1,2,3,2
neutral or dissatisfied,Female,Infrequent Flyer,19,Business travel,Eco,983,3,3,3,5,2,3,2,2,5,4,4,5,5,2,0
neutral or dissatisfied,Male,Frequent Flyer,67,Personal Travel,Eco,1747,2,5,2,4,4,2,3,4,4,3,4,5,4,4,54
neutral or dissatisfied,Male,Infrequent Flyer,37,Business travel,Eco,861,2,2,2,2,3,2,3,3,2,1,3,1,3,3,0
neutral or dissatisfied,Female,Frequent Flyer,21,Personal Travel,Eco,544,4,5,4,4,2,4,2,2,1,1,4,4,1,2,0
neutral or dissatisfied,Female,Frequent Flyer,47,Business travel,Eco,596,3,5,5,5,3,3,2,3,3,3,3,2,3,3,2
neutral or dissatisfied,Female,Infrequent Flyer,37,Business travel,Business,1464,3,3,3,3,1,3,1,1,4,5,4,4,4,1,0
neutral or dissatisfied,Male,Frequent Flyer,49,Personal Travel,Eco,616,2,4,2,1,5,2,4,5,5,3,5,5,4,5,46
neutral or dissatisfied,Male,Infrequent Flyer,34,Business travel,Eco,308,2,0,2,3,4,2,4,4,1,3,1,2,1,4,0
neutral or dissatisfied,Male,Frequent Flyer,20,Personal Travel,Eco,250,3,5,0,2,4,0,4,4,4,2,4,1,4,4,40
neutral or dissatisfied,Female,Frequent Flyer,41,Business travel,Business,2729,2,2,2,2,3,4,4,2,2,2,2,1,2,2,0
neutral or dissatisfied,Female,Frequent Flyer,66,Personal Travel,Eco Plus,487,3,2,3,3,3,4,4,4,4,3,4,3,4,4,0
neutral or dissatisfied,Female,Frequent Flyer,42,Personal Travel,Eco Plus,334,1,3,4,4,1,1,5,5,5,4,3,2,5,5,59
neutral or dissatisfied,Male,Infrequent Flyer,35,Business travel,Business,1123,3,4,4,4,5,4,5,5,3,3,3,3,3,5,0
neutral or dissatisfied,Male,Frequent Flyer,30,Personal Travel,Eco Plus,997,4,3,4,1,5,4,4,5,1,4,4,4,3,5,1
neutral or dissatisfied,Female,Infrequent Flyer,36,Business travel,Eco Plus,145,2,2,2,3,4,2,1,4,4,5,5,1,4,4,0
neutral or dissatisfied,Female,Infrequent Flyer,38,Business travel,Eco,846,2,2,2,3,3,2,3,3,2,1,2,1,3,3,37
neutral or dissatisfied,Female,Frequent Flyer,29,Personal Travel,Eco,187,1,4,1,3,4,1,4,4,3,2,3,2,3,4,0
neutral or dissatisfied,Female,Frequent Flyer,39,Business travel,Business,3182,2,5,5,5,2,4,3,2,2,2,2,2,2,4,30
neutral or dissatisfied,Female,Infrequent Flyer,25,Business travel,Eco,216,2,0,2,3,4,2,4,4,4,5,3,1,3,4,0
neutral or dissatisfied,Female,Infrequent Flyer,40,Business travel,Business,3302,1,1,1,3,1,5,2,4,1,3,4,2,1,2,34
neutral or dissatisfied,Female,Frequent Flyer,32,Personal Travel,Eco,866,3,4,3,3,3,3,3,3,3,5,4,1,4,3,0
neutral or dissatisfied,Male,Frequent Flyer,70,Business travel,Business,2849,2,4,4,4,5,3,3,2,2,2,2,1,2,3,0
neutral or dissatisfied,Female,Frequent Flyer,21,Personal Travel,Eco,404,2,4,2,2,2,2,2,2,4,4,5,4,5,2,0
neutral or dissatisfied,Male,Frequent Flyer,9,Personal Travel,Eco,1576,4,5,4,5,1,4,1,1,3,3,3,4,4,1,0
neutral or dissatisfied,Female,Infrequent Flyer,45,Business travel,Business,282,3,3,3,4,5,3,5,5,1,4,3,1,3,5,2
neutral or dissatisfied,Male,Frequent Flyer,56,Business travel,Business,2049,4,1,1,1,3,3,3,4,4,4,4,2,4,1,0
neutral or dissatisfied,Male,Infrequent Flyer,29,Business travel,Eco,628,1,0,1,4,5,1,5,5,2,1,4,5,3,5,0
neutral or dissatisfied,Male,Infrequent Flyer,16,Business travel,Eco,751,2,2,2,4,1,2,1,1,1,3,4,1,3,1,126
neutral or dissatisfied,Male,Frequent Flyer,57,Personal Travel,Eco,239,2,3,0,3,3,0,3,3,2,3,2,2,3,3,0
neutral or dissatisfied,Male,Infrequent Flyer,26,Business travel,Eco,751,2,2,2,4,5,2,1,5,3,2,5,1,2,5,0
neutral or dissatisfied,Female,Frequent Flyer,64,Personal Travel,Eco Plus,1142,1,3,1,3,3,2,3,3,3,1,3,1,3,3,31
neutral or dissatisfied,Male,Frequent Flyer,47,Personal Travel,Eco,395,2,5,2,3,1,2,3,1,5,2,4,3,1,1,0
neutral or dissatisfied,Male,Frequent Flyer,71,Business travel,Business,1558,1,2,2,2,3,4,4,1,1,1,1,3,1,1,10
neutral or dissatisfied,Female,Frequent Flyer,54,Business travel,Business,599,2,1,2,1,5,4,3,2,2,2,2,3,2,3,0
neutral or dissatisfied,Female,Frequent Flyer,20,Personal Travel,Eco,689,3,4,3,4,5,3,1,5,5,4,4,3,5,5,0
neutral or dissatisfied,Male,Frequent Flyer,37,Business travel,Business,1558,4,1,1,1,1,3,4,4,4,3,4,1,4,3,0
neutral or dissatisfied,Male,Infrequent Flyer,38,Business travel,Business,2442,3,3,3,1,3,5,5,4,2,5,5,5,4,5,0
neutral or dissatisfied,Female,Frequent Flyer,51,Business travel,Business,458,1,4,2,4,4,3,3,1,1,1,1,1,1,3,1
neutral or dissatisfied,Male,Frequent Flyer,31,Personal Travel,Eco,223,2,0,2,3,1,2,1,1,4,4,4,3,4,1,30
neutral or dissatisfied,Male,Frequent Flyer,21,Personal Travel,Eco,2640,3,5,3,1,5,3,5,5,2,3,5,3,5,5,28
neutral or dissatisfied,Male,Infrequent Flyer,23,Business travel,Eco,587,2,5,3,1,4,3,4,4,4,4,4,4,4,4,35
neutral or dissatisfied,Female,Infrequent Flyer,26,Business travel,Business,1744,2,2,2,4,4,2,4,4,5,3,4,4,4,4,11
neutral or dissatisfied,Female,Frequent Flyer,22,Personal Travel,Eco,806,4,5,4,2,5,4,5,5,1,2,5,3,1,5,6
neutral or dissatisfied,Male,Frequent Flyer,69,Personal Travel,Eco,432,1,4,1,4,3,1,5,3,2,1,4,2,4,3,1
neutral or dissatisfied,Male,Frequent Flyer,61,Personal Travel,Eco,227,3,4,0,3,4,0,4,4,3,5,5,5,4,4,0
neutral or dissatisfied,Male,Frequent Flyer,35,Business travel,Eco Plus,1947,3,4,4,4,3,3,3,3,3,1,2,2,3,3,1
neutral or dissatisfied,Female,Infrequent Flyer,24,Business travel,Eco,102,3,3,3,4,3,3,5,3,3,5,3,1,4,3,1
neutral or dissatisfied,Male,Frequent Flyer,16,Business travel,Business,3262,2,3,1,3,2,2,2,2,4,3,4,2,3,2,77
neutral or dissatisfied,Female,Frequent Flyer,47,Personal Travel,Eco,73,2,1,2,3,3,2,2,5,5,2,5,2,5,2,64
neutral or dissatisfied,Male,Frequent Flyer,25,Personal Travel,Eco,793,3,4,2,4,5,2,5,5,4,2,5,3,4,5,7
neutral or dissatisfied,Female,Frequent Flyer,12,Personal Travel,Eco,31,3,4,3,4,1,3,1,1,1,1,2,5,1,1,12
neutral or dissatisfied,Female,Frequent Flyer,7,Personal Travel,Eco,2565,3,4,3,1,3,3,3,3,5,1,2,3,4,3,0
neutral or dissatisfied,Male,Frequent Flyer,67,Personal Travel,Eco,373,4,3,4,3,1,4,1,1,4,4,2,3,3,1,0
neutral or dissatisfied,Male,Infrequent Flyer,22,Business travel,Eco,533,3,0,3,2,4,3,4,4,4,1,4,3,3,4,0
neutral or dissatisfied,Female,Frequent Flyer,60,Personal Travel,Eco,1020,2,4,2,1,1,5,3,4,4,2,4,2,4,5,5
